wdid,spectype,teff,Dteff,logg,Dlogg
2QZ J110256.3+010011,DAB,22631.0,285.0,5.01,0.02
2QZ J110644.2-003928,DZ,11350.0,457.0,8.0604,
2QZ J110901.6-023800,DA,11094.0,522.0,7.386,0.1
2QZ J111236.1+015140,DA,12832.0,,7.41,
2QZ J111335.8+014533,DB,32052.0,,8.0,
2QZ J111355.7-014638,DA,12194.0,878.0,7.933,0.087
2QZ J111652.8-021849,DA,,,,
2QZ J111916.4-011351,DA,7754.0,,7.919,
2QZ J112059.6-001942,DA,32446.0,474.0,7.17,0.1
2QZ J112105.5+000922,DA,12039.0,660.0,7.98,0.064
2QZ J112337.5+014451,DA,17499.0,,7.703,
2QZ J112343.5-020039,DA,9619.0,570.0,7.977,0.132
2QZ J112620.7-024140,DA,9954.0,,7.784,
2QZ J112730.3-013801,DZ,7575.0,61.0,8.06,0.021
2QZ J112730.3-013905,DA,8343.0,,6.908,
2QZ J112748.2-002901,DA4.5,,,,
2QZ J112858.6+014119,DA,12151.0,896.0,7.941,0.099
2QZ J112920.5+011603,DB,16540.0,,7.99,
2QZ J113014.7-000951,DA,12755.0,692.0,7.743,0.068
2QZ J113232.8-021824,DA,25954.0,328.0,7.83,0.04
2QZ J113314.2-025625,DC,10452.0,,7.947,
2QZ J113320.2-023440,DA,8568.0,,7.394,
2QZ J113457.6-012421,DA,7243.0,,7.846,
2QZ J113511.6-010103,DA,7477.0,,7.97,
2QZ J113649.7+000907,DA,7668.0,,8.499,
2QZ J113728.3-002343,DZ,10003.0,359.0,8.1842,
2QZ J113743.4+004719,DA,9737.0,,7.825,
2QZ J113749.8+004345,DA,9100.0,,8.779,
2QZ J113830.1-011917,DA,8314.0,100.0,8.18,0.01
2QZ J113952.6-021502,DA:,9005.0,472.0,7.834,0.148
2QZ J114137.1-002730,DC+M:,10903.0,260.0,6.9,0.5
