wdid,spectype,teff,logg,Dlogg,mass,Dmass
Gaia DR2 1343022671299977216,DC,9137.0,8.21,,0.728,
Gaia DR2 1343052491256548992,DC,6269.0,8.363,,0.822,
Gaia DR2 1344107816260932480,DC,7299.0,8.395,,0.846,
Gaia DR2 1345041748308955648,DC,5350.0,7.761,0.028,0.435,0.02
Gaia DR2 1348007784003797376,DC,7125.0,8.063,0.018,0.613,0.016
Gaia DR2 1349726324974648192,DC,7153.0,8.012,0.011,0.582,0.01
Gaia DR2 1354258473248294912,DC,5609.0,7.82,0.015,0.467,0.011
Gaia DR2 135432039810291456,DC?,10431.0,8.221,,0.738,
Gaia DR2 1354669553158591232,DC,5739.0,7.977,0.016,0.557,0.014
Gaia DR2 1360235560190381440,DC,5157.0,8.072,0.013,0.613,0.012
Gaia DR2 136540274515184768,DC,6818.0,7.927,,0.548,
Gaia DR2 136692075844561280,DC,4883.0,7.924,,0.534,
Gaia DR2 137141810455464192,DC,6268.0,8.062,0.025,0.611,0.022
Gaia DR2 1373569711363357056,DC,6221.0,8.082,0.012,0.623,0.011
Gaia DR2 1374151146855898240,DC,5132.0,7.997,0.026,0.567,0.022
Gaia DR2 1378546345804178560,DC:,4878.0,7.978,0.09,0.566,0.079
Gaia DR2 1381245848713362432,DC:,5126.0,8.499,,0.909,
Gaia DR2 1383292181587562496,DC,4607.0,7.647,0.016,0.386,0.011
Gaia DR2 1387477674460715392,DC:,5587.0,8.177,0.075,0.697,0.068
Gaia DR2 1390852870215428608,DC,6132.0,7.99,,0.583,
Gaia DR2 1394479501945576064,DC-IRfaint,4491.0,8.18,0.043,0.682,0.028
Gaia DR2 1401485315164470784,DC:,5082.0,8.052,0.064,0.612,0.058
Gaia DR2 1406792623427291136,DC,5181.0,7.89,0.017,0.517,0.014
Gaia DR2 1408863003822944000,DC,5789.0,8.073,0.018,0.616,0.016
Gaia DR2 1409166984427845632,DC,5955.0,8.154,0.021,0.668,0.019
Gaia DR2 1412116767967011712,DC:,4934.0,7.979,,0.567,
Gaia DR2 1412126319974269696,DC,5473.0,7.888,0.02,0.505,0.015
Gaia DR2 1417132022754516480,DC,5453.0,7.53,0.031,0.344,0.019
Gaia DR2 1417404048803018752,DC,4871.0,7.554,0.028,0.338,0.016
Gaia DR2 1424656526287583744,DC,4670.0,,,1.061,0.0395
Gaia DR2 14250873286930048,DC:,6381.0,8.206,,0.719,
Gaia DR2 1425236724824667520,DC,4612.0,7.651,0.014,0.388,0.009
Gaia DR2 1426065035037796864,DC:,6159.0,8.078,0.057,0.62,0.052
Gaia DR2 1428737883380276224,DC:,5006.0,8.061,0.037,0.618,0.032
Gaia DR2 1429800419634352000,DC,5971.0,8.105,0.029,0.637,0.026
Gaia DR2 1430007784951049216,DC,7533.0,8.027,0.014,0.592,0.012
Gaia DR2 1435887934481462784,DC,5740.0,8.049,0.016,0.601,0.014
Gaia DR2 1436271354802097792,DC:,4673.0,7.9,,0.519,
Gaia DR2 143817499597885824,DC:,8162.0,8.298,,0.784,
Gaia DR2 1441044132915458176,DC,5224.0,7.864,0.022,0.49,0.018
Gaia DR2 1447925976193082368,DC,3886.0,7.753,0.018,0.436,0.013
Gaia DR2 1451503404777191936,DC,,,,,
Gaia DR2 1453676525085505408,DC,7149.0,8.01,0.014,0.581,0.013
Gaia DR2 145429108768875008,DC,8079.0,8.173,0.008,0.684,0.007
Gaia DR2 1456907504427822464,DC,5165.0,7.793,0.05,0.464,0.037
Gaia DR2 1458210842321624448,DC,5155.0,7.986,0.037,0.573,0.031
Gaia DR2 1461469893567499904,DC,4313.0,7.556,0.073,0.344,0.044
Gaia DR2 1464837457164974976,DC,4688.0,7.867,0.083,0.5,0.065
Gaia DR2 1470240530320055680,DC:,4956.0,8.077,,0.627,
Gaia DR2 1470926586919626880,DC,5121.0,7.995,0.017,0.566,0.014
