age,Dage
,
,
,
,
,
,
0.07557,
,
,
3.347,
0.3578,
,
0.1666,
1.214,
,
3.604,
,
,
,
,
1.051,
,
,
,
0.8527,
,
,
0.6236,
,
,
,
,
,
,
,
,
1.349,
,
1.035,
,
,
,
,
,
,
,
,
,
,
,
,
0.2106,
,
0.628,
,
2.464,
,
,
,
,
,
,
,
,
,
,
0.1574,
1.652,
,
,
,
,
0.2154,
,
3.366,
,
,
,
,
,
,
,
,
,
0.5985,
,
,
,
,
,
,
,
2.16,
,
,
2.419,
0.444,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.9953,
0.1258,
,
,
0.0902,
,
,
0.5879,
,
,
,
,
,
,
,
4.211,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.9892,
,
,
1.106,
,
,
,
,
,
,
,
0.04005,
,
1.25,
1.414,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.6755,
,
,
2.338,
2.783,
,
,
,
,
,
,
,
,
1.912,
,
,
,
,
,
,
,
,
,
,
,
0.2061,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.0003,0.0002
0.5595,
,
,
,
,
,
,
,
,
,
,
,
,
,
4.07,
,
,
,
,
,
0.1535,
,
0.6129,
,
,
,
0.0085,0.0004
,
,
0.2436,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.7291,
,
1.04,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1.021,
,
,
,
0.01267,
,
,
,
,
0.05109,
,
,
1.787,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.1471,
,
0.155,
,
,
,
,
,
0.3169,
,
1.405,
,
2.31,
0.6318,
0.808,
,
,
,
,
,
,
,
,
,
,
,
,
0.09278,
1.893,
,
1.5,
,
,
0.7085,
,
,
,
0.0031,0.0003
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.009226,
,
0.1644,
,
,
,
,
,
,
,
,
,
,
,
,
0.6248,
,
0.1094,
,
,
0.003,0.0007
0.06368,
,
,
,
,
,
,
1.321,
,
,
,
0.7203,
,
,
,
0.4469,
,
,
,
,
,
0.3668,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.0025,0.0002
,
,
,
,
,
,
,
0.0002,0.0002
,
,
,
,
0.2429,
0.3546,
,
,
,
0.4574,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
